User ID,New Listings,Renewals,Ads Bought,Listing Revenue,Promo Revenues,Total Revenue
27,6,132,0,0.0,0.0,0.0
70,1,0,0,0.0,0.0,0.0
135,58,475,0,0.0,0.0,0.0
170,6,44,0,0.0,0.0,0.0
176,7,0,0,0.0,0.0,0.0
308,7,32,0,0.0,0.0,0.0
318,27,34,0,0.0,0.0,0.0
399,0,131,0,0.0,0.0,0.0
407,12,22,0,0.0,0.0,0.0
409,6,167,0,0.0,0.0,0.0
458,5,31,0,0.0,0.0,0.0
498,11,115,0,0.0,0.0,0.0
573,2,8,0,0.0,0.0,0.0
697,6,8,0,0.0,0.0,0.0
832,6,1,0,0.0,0.0,0.0
833,2,4,0,0.0,0.0,0.0
856,9,3,0,0.0,0.0,0.0
859,3,8,0,0.0,0.0,0.0
867,2,0,0,0.0,0.0,0.0
879,0,37,0,0.0,0.0,0.0
893,3,11,0,0.0,0.0,0.0
923,2,47,0,0.0,0.0,0.0
961,25,2,0,0.0,0.0,0.0
962,9,11,0,0.0,0.0,0.0
1070,4,48,0,0.0,0.0,0.0
1083,15,14,0,0.0,0.0,0.0
1089,12,14,0,0.0,0.0,0.0
1183,9,57,0,0.0,0.0,0.0
1309,2,70,0,0.0,0.0,0.0
1362,16,3,0,0.0,0.0,0.0
1499,3,62,0,0.0,0.0,0.0
1587,1,87,0,0.0,0.0,0.0
1642,11,1,0,0.0,0.0,0.0
1744,36,464,0,0.0,0.0,0.0
1757,1,0,0,0.0,0.0,0.0
1790,132,251,0,0.0,0.0,0.0
1805,1,4,0,0.0,0.0,0.0
1854,0,6,0,0.0,0.0,0.0
1912,31,1402,0,0.0,0.0,0.0
1965,1,60,0,0.0,0.0,0.0
2046,4,3,0,0.0,0.0,0.0
2091,12,62,0,0.0,0.0,0.0
2136,2,2,0,0.0,0.0,0.0
2190,1,0,0,0.0,0.0,0.0
2194,6,0,0,0.0,0.0,0.0
2215,4,25,0,0.0,0.0,0.0
2357,6,12,0,0.0,0.0,0.0
2362,6,57,0,0.0,0.0,0.0
2378,1,13,0,0.0,0.0,0.0
2432,2,0,0,0.0,0.0,0.0
2558,11,173,0,0.0,0.0,0.0
2664,45,71,0,0.0,0.0,0.0
2774,1,5,0,0.0,0.0,0.0
2793,0,5,0,0.0,0.0,0.0
2938,4,133,0,0.0,0.0,0.0
2963,9,0,0,0.0,0.0,0.0
2966,4,1,0,0.0,0.0,0.0
2992,1,2,0,0.0,0.0,0.0
3001,0,12,0,0.0,0.0,0.0
3037,4,19,0,0.0,0.0,0.0
3038,0,3,0,0.0,0.0,0.0
3040,5,40,0,0.0,0.0,0.0
3122,0,4,0,0.0,0.0,0.0
3256,1,0,0,0.0,0.0,0.0
3257,2,7,0,0.0,0.0,0.0
3438,1,2,0,0.0,0.0,0.0
3468,25,82,0,0.0,0.0,0.0
3536,3,0,0,0.0,0.0,0.0
3558,3,14,0,0.0,0.0,0.0
3803,3,10,0,0.0,0.0,0.0
3845,9,7,0,0.0,0.0,0.0
3846,7,1,0,0.0,0.0,0.0
3870,16,22,0,0.0,0.0,0.0
4042,3,27,0,0.0,0.0,0.0
4046,8,6,0,0.0,0.0,0.0
4066,21,509,0,0.0,0.0,0.0
4083,40,340,0,0.0,0.0,0.0
4102,1,11,0,0.0,0.0,0.0
4202,4,111,0,0.0,0.0,0.0
4308,4,28,0,0.0,0.0,0.0
4438,2,0,0,0.0,0.0,0.0
4440,12,6,0,0.0,0.0,0.0
4471,23,84,0,0.0,0.0,0.0
4479,3,35,0,0.0,0.0,0.0
4587,1,0,0,0.0,0.0,0.0
4632,52,30,0,0.0,0.0,0.0
4641,1,0,0,0.0,0.0,0.0
4741,3,12,0,0.0,0.0,0.0
4743,130,294,0,0.0,0.0,0.0
4923,3,3,0,0.0,0.0,0.0
4986,16,253,0,0.0,0.0,0.0
4999,7,28,0,0.0,0.0,0.0
5066,2,6,0,0.0,0.0,0.0
5122,3,26,0,0.0,0.0,0.0
5173,1,57,0,0.0,0.0,0.0
5243,2,1,0,0.0,0.0,0.0
5305,15,40,0,0.0,0.0,0.0
5425,0,1,0,0.0,0.0,0.0
5499,2,5,0,0.0,0.0,0.0
5510,1,4,0,0.0,0.0,0.0
5546,4,24,0,0.0,0.0,0.0
5557,0,19,0,0.0,0.0,0.0
5626,1,9,0,0.0,0.0,0.0
5637,3,10,0,0.0,0.0,0.0
5690,8,5,0,0.0,0.0,0.0
5777,6,13,0,0.0,0.0,0.0
5905,1,5,0,0.0,0.0,0.0
5939,19,5,0,0.0,0.0,0.0
5997,3,30,0,0.0,0.0,0.0
6055,2,8,0,0.0,0.0,0.0
6130,2,10,0,0.0,0.0,0.0
6133,0,2,0,0.0,0.0,0.0
6161,1,3,0,0.0,0.0,0.0
6206,1,5,0,0.0,0.0,0.0
6270,9,2,0,0.0,0.0,0.0
6338,1,2,0,0.0,0.0,0.0
6365,4,12,0,0.0,0.0,0.0
6465,0,15,0,0.0,0.0,0.0
6532,7,51,0,0.0,0.0,0.0
6628,6,162,0,0.0,0.0,0.0
6652,3,8,0,0.0,0.0,0.0
6693,1,1,0,0.0,0.0,0.0
6757,5,22,0,0.0,0.0,0.0
6947,7,193,0,0.0,0.0,0.0
7052,2,14,0,0.0,0.0,0.0
7192,2,0,0,0.0,0.0,0.0
7243,12,191,0,0.0,0.0,0.0
7260,17,19,0,0.0,0.0,0.0
7267,2,13,0,0.0,0.0,0.0
7320,25,114,0,0.0,0.0,0.0
7351,5,0,0,0.0,0.0,0.0
7467,12,30,0,0.0,0.0,0.0
7622,6,112,0,0.0,0.0,0.0
7635,4,10,0,0.0,0.0,0.0
7671,1,1,0,0.0,0.0,0.0
8303,0,3,0,0.0,0.0,0.0
8312,17,169,0,0.0,0.0,0.0
8518,2,2,0,0.0,0.0,0.0
8615,2,10,0,0.0,0.0,0.0
8851,4,9,0,0.0,0.0,0.0
8968,1,6,0,0.0,0.0,0.0
9134,3,0,0,0.0,0.0,0.0
9207,3,11,0,0.0,0.0,0.0
9363,3,0,0,0.0,0.0,0.0
9419,8,3,0,0.0,0.0,0.0
9721,2,6,0,0.0,0.0,0.0
9914,0,6,0,0.0,0.0,0.0
9986,1,2,0,0.0,0.0,0.0
10032,3,25,0,0.0,0.0,0.0
10207,11,7,0,0.0,0.0,0.0
10678,7,100,0,0.0,0.0,0.0
10778,4,89,0,0.0,0.0,0.0
10800,7,3,0,0.0,0.0,0.0
10933,5,2,0,0.0,0.0,0.0
11122,0,4,0,0.0,0.0,0.0
11173,2,34,0,0.0,0.0,0.0
11325,6,0,0,0.0,0.0,0.0
11370,2,1,0,0.0,0.0,0.0
11486,7,17,0,0.0,0.0,0.0
11667,3,4,0,0.0,0.0,0.0
11766,0,2,0,0.0,0.0,0.0
11886,9,8,0,0.0,0.0,0.0
11914,11,121,0,0.0,0.0,0.0
12095,2,30,0,0.0,0.0,0.0
12328,0,7,0,0.0,0.0,0.0
12428,3,13,0,0.0,0.0,0.0
12557,1,5,0,0.0,0.0,0.0
12848,3,3,0,0.0,0.0,0.0
12985,2,15,0,0.0,0.0,0.0
13219,11,14,0,0.0,0.0,0.0
13470,3,7,0,0.0,0.0,0.0
13542,3,0,0,0.0,0.0,0.0
13575,5,56,0,0.0,0.0,0.0
13609,4,9,0,0.0,0.0,0.0
13713,2,8,0,0.0,0.0,0.0
13927,59,195,0,0.0,0.0,0.0
14174,6,0,0,0.0,0.0,0.0
14213,2,3,0,0.0,0.0,0.0
14274,0,1,0,0.0,0.0,0.0
14404,1,7,0,0.0,0.0,0.0
14514,12,31,0,0.0,0.0,0.0
14650,6,12,0,0.0,0.0,0.0
14683,2,0,0,0.0,0.0,0.0
14711,21,29,0,0.0,0.0,0.0
14716,3,2,0,0.0,0.0,0.0
14925,2,4,0,0.0,0.0,0.0
14955,1,0,0,0.0,0.0,0.0
15052,16,129,0,0.0,0.0,0.0
15120,1,0,0,0.0,0.0,0.0
15212,0,5,0,0.0,0.0,0.0
15367,1,0,0,0.0,0.0,0.0
15672,0,1,0,0.0,0.0,0.0
15685,1,28,0,0.0,0.0,0.0
15749,3,1,0,0.0,0.0,0.0
15822,2,6,0,0.0,0.0,0.0
16108,13,88,0,0.0,0.0,0.0
16193,0,5,0,0.0,0.0,0.0
16342,3,39,0,0.0,0.0,0.0
16379,5,0,0,0.0,0.0,0.0
16404,8,4,0,0.0,0.0,0.0
16544,10,5,0,0.0,0.0,0.0
16563,1,6,0,0.0,0.0,0.0
16589,4,6,0,0.0,0.0,0.0
16817,17,33,0,0.0,0.0,0.0
16824,1,0,0,0.0,0.0,0.0
16848,0,2,0,0.0,0.0,0.0
16859,2,15,0,0.0,0.0,0.0
16872,2,3,0,0.0,0.0,0.0
17118,5,0,0,0.0,0.0,0.0
17202,19,13,0,0.0,0.0,0.0
17925,0,12,0,0.0,0.0,0.0
17975,3,1,0,0.0,0.0,0.0
17986,6,38,0,0.0,0.0,0.0
18059,11,28,0,0.0,0.0,0.0
18153,0,15,0,0.0,0.0,0.0
18178,4,5,0,0.0,0.0,0.0
18323,0,3,0,0.0,0.0,0.0
18324,3,0,0,0.0,0.0,0.0
18368,11,9,0,0.0,0.0,0.0
18524,50,163,0,0.0,0.0,0.0
18577,1,2,0,0.0,0.0,0.0
18608,1,0,0,0.0,0.0,0.0
18666,55,71,0,0.0,0.0,0.0
18820,11,22,0,0.0,0.0,0.0
18875,3,9,0,0.0,0.0,0.0
18897,7,61,0,0.0,0.0,0.0
18935,1,4,0,0.0,0.0,0.0
18940,4,5,0,0.0,0.0,0.0
19049,2,1,0,0.0,0.0,0.0
19067,9,45,0,0.0,0.0,0.0
19140,6,20,0,0.0,0.0,0.0
19161,3,9,0,0.0,0.0,0.0
19374,2,1,0,0.0,0.0,0.0
19623,7,39,0,0.0,0.0,0.0
19664,17,19,0,0.0,0.0,0.0
19799,3,2,0,0.0,0.0,0.0
19803,3,21,0,0.0,0.0,0.0
19886,13,15,0,0.0,0.0,0.0
19950,20,42,0,0.0,0.0,0.0
20160,2,9,0,0.0,0.0,0.0
20273,3,22,0,0.0,0.0,0.0
20387,2,0,0,0.0,0.0,0.0
20927,3,58,0,0.0,0.0,0.0
21163,4,9,0,0.0,0.0,0.0
21388,2,16,0,0.0,0.0,0.0
21403,2,118,0,0.0,0.0,0.0
21531,3,0,0,0.0,0.0,0.0
21651,1,1,0,0.0,0.0,0.0
21767,5,38,0,0.0,0.0,0.0
21809,4,4,0,0.0,0.0,0.0
21823,84,313,0,0.0,0.0,0.0
21902,3,46,0,0.0,0.0,0.0
21908,9,27,0,0.0,0.0,0.0
21940,0,4,0,0.0,0.0,0.0
22207,3,11,0,0.0,0.0,0.0
22237,1,3,0,0.0,0.0,0.0
22476,1,0,0,0.0,0.0,0.0
22517,0,1,0,0.0,0.0,0.0
22561,1,16,0,0.0,0.0,0.0
22737,1,11,0,0.0,0.0,0.0
22764,2,1,0,0.0,0.0,0.0
22961,1,0,0,0.0,0.0,0.0
23070,2,3,0,0.0,0.0,0.0
23137,2,47,0,0.0,0.0,0.0
23270,1,23,0,0.0,0.0,0.0
23374,0,3,0,0.0,0.0,0.0
23385,1,0,0,0.0,0.0,0.0
23445,2,3,0,0.0,0.0,0.0
23450,3,11,0,0.0,0.0,0.0
23484,1,0,0,0.0,0.0,0.0
23793,1,0,0,0.0,0.0,0.0
24173,1,1,0,0.0,0.0,0.0
24187,1,17,0,0.0,0.0,0.0
24193,2,0,0,0.0,0.0,0.0
24241,0,5,0,0.0,0.0,0.0
24257,23,46,0,0.0,0.0,0.0
24288,0,1,0,0.0,0.0,0.0
24334,1,131,0,0.0,0.0,0.0
24377,1,3,0,0.0,0.0,0.0
24404,0,4,0,0.0,0.0,0.0
24514,1,7,0,0.0,0.0,0.0
24516,9,9,0,0.0,0.0,0.0
24518,3,0,0,0.0,0.0,0.0
24664,2,2,0,0.0,0.0,0.0
24691,6,18,0,0.0,0.0,0.0
24708,0,3,0,0.0,0.0,0.0
24742,3,5,0,0.0,0.0,0.0
24812,2,2,0,0.0,0.0,0.0
24842,0,1,0,0.0,0.0,0.0
24978,4,7,0,0.0,0.0,0.0
25092,7,49,0,0.0,0.0,0.0
25105,22,18,0,0.0,0.0,0.0
25232,10,12,0,0.0,0.0,0.0
